ExtractionType,EventDescription,Start,End,Duration(s),Text_length,Aligned,EventType
Manually Extracted Event,Airline pilot Captain Whip Whitaker uses cocaine to stay alert after a sleepless night in his Orlando hotel room.,0:03:27,0:03:47,20,113,Success,process
Manually Extracted Event,"He pilots SouthJet Flight 227 to Atlanta,",0:09:33,0:25:02,929,41,Success,process
Manually Extracted Event,which experiences severe turbulence at takeoff.,0:09:46,0:12:39,173,47,Success,change_of_state
Manually Extracted Event,Co-pilot Ken Evans takes over,0:12:59,0:13:02,3,29,Fail,process
Manually Extracted Event,while Whip discreetly mixes vodka in his orange juice,0:14:57,0:15:33,36,53,Success,process
Manually Extracted Event,and takes a nap.,0:17:07,0:17:21,14,16,Success,change_of_state
Manually Extracted Event,He is jolted awake as the plane goes into a steep dive.,0:17:38,0:17:43,5,55,Fail,change_of_state
Manually Extracted Event,"Unable to regain control,",0:17:44,0:21:12,208,25,Success,non_event
Manually Extracted Event,"Whip is forced to make a controlled crash landing in an open field,",0:23:14,0:25:02,108,67,Success,process
Manually Extracted Event,hitting his head,0:25:03,0:25:07,4,16,Success,process
Manually Extracted Event,and losing consciousness on impact.,0:25:08,0:26:16,68,35,Success,change_of_state
Manually Extracted Event,Whip awakens in an Atlanta hospital with moderate injuries,0:26:18,0:27:24,66,58,Success,change_of_state
Manually Extracted Event,"and is greeted by his old friend Charlie Anderson,",0:27:27,0:27:42,15,50,Success,process
Manually Extracted Event,who represents the airline's pilots union.,0:30:59,0:31:02,3,42,Fail,stative_event
Manually Extracted Event,"He tells Whip that he managed to save 96 out of 102, losing two crew members and four passengers,",0:27:44,0:28:07,23,97,Fail,process
Manually Extracted Event,but mentions his co-pilot is in a coma.,0:31:52,0:32:02,10,39,Fail,process
Manually Extracted Event,Whip sneaks away for a cigarette,0:38:44,0:39:01,17,32,Success,process
Manually Extracted Event,"and meets Nicole Maggen,",0:39:02,0:39:48,46,24,Success,process
Manually Extracted Event,a heroin addict recovering from an overdose in the same hospital.,0:42:04,0:42:10,6,65,Fail,stative_event
Manually Extracted Event,"The next morning, his friend and drug dealer Harling Mays picks him up from the hospital.",0:45:42,0:46:29,47,89,Success,process
Manually Extracted Event,"Having retired to his late father's farm,",0:46:35,0:47:37,62,41,Success,process
