EventID,MovieName,EventDescription,StartTime,EndTime,StartTime(s),EndTime(s),Duration(s),start_point,end_point,Text_length,Aligned,EventType
1,The Social Network(2010),"On October 28, 2003, 19-year-old Harvard University sophomore Mark Zuckerberg is dumped by his girlfriend, Erica Albright.",0:03:38,0:05:23,218,323,105,0,122,122,Fail,change_of_state
2,The Social Network(2010),"Returning to his dorm, Zuckerberg writes an insulting post about Albright on his LiveJournal blog.",0:07:44,0:08:40,464,520,56,123,221,98,Success,process
3,The Social Network(2010),"He creates a campus website called Facemash by hacking into college databases to steal photos of female students,",0:09:22,0:12:12,562,732,170,222,335,113,Success,process
4,The Social Network(2010),then allowing site visitors to rate their attractiveness.,0:12:47,0:14:53,767,893,126,336,393,57,Success,process
5,The Social Network(2010),"After traffic to the site crashes parts of Harvard's computer network,",0:15:15,0:16:10,915,970,55,394,464,70,Success,process
6,The Social Network(2010),Zuckerberg is given six months of academic probation.,0:20:16,0:20:22,1216,1222,6,465,518,53,Success,change_of_state
7,The Social Network(2010),"However, Facemash's popularity attracts the attention of twins Cameron and Tyler Winklevoss and their business partner Divya Narendra.",0:18:01,0:18:44,1081,1124,43,519,653,134,Fail,process
8,The Social Network(2010),"The trio invites Zuckerberg to work on Harvard Connection, a social network exclusive to Harvard students and aimed at dating.",0:23:07,0:24:03,1387,1443,56,654,780,126,Fail,process
9,The Social Network(2010),"Zuckerberg approaches his friend Eduardo Saverin with an idea for the Facebook, a social networking website that would be exclusive to Ivy League students.",0:26:22,0:27:29,1582,1649,67,781,935,155,Success,process
10,The Social Network(2010),"Saverin provides $1,000 in seed funding, allowing Zuckerberg to build the website,",0:28:02,0:28:18,1682,1698,16,937,1019,82,Fail,process
11,The Social Network(2010),which quickly becomes popular.,0:44:01,0:44:10,2641,2650,9,1020,1050,30,Fail,change_of_state
12,The Social Network(2010),"When they learn of the Facebook, the Winklevoss twins and Narendra are incensed,",0:38:47,0:39:43,2327,2383,56,1051,1131,80,Success,stative_event
13,The Social Network(2010),believing that Zuckerberg stole their idea while misleading them by stalling development on the Harvard Connection website.,0:41:01,0:42:04,2461,2524,63,1132,1255,123,Fail,stative_event
14,The Social Network(2010),"They raise their complaint with Harvard President Larry Summers,",1:00:54,1:01:45,3654,3705,51,1256,1320,64,Fail,process
15,The Social Network(2010),who is dismissive,1:02:17,1:02:37,3737,3757,20,1321,1338,17,Fail,stative_event
