EventID,MovieName,EventDescription,StartTime,EndTime,StartTime(s),EndTime(s),Duration(s),start_point,end_point,Text_length,Aligned,EventType,Normalised Video Clip Index,Normalised Plot Sentence Index
1,Flight(2012),Airline pilot Captain Whip Whitaker uses cocaine to stay alert after a sleepless night in his Orlando hotel room.,0:03:27,0:03:47,207,227,20,0,113,113,Success,process,0.022233515436412145,0.0
2,Flight(2012),"He pilots SouthJet Flight 227 to Atlanta,",0:09:33,0:25:02,573,1502,929,114,155,41,Success,process,0.06873332486342269,0.030383795309168442
3,Flight(2012),which experiences severe turbulence at takeoff.,0:09:46,0:12:39,586,759,173,156,203,47,Success,change_of_state,0.07038495743869902,0.04157782515991471
4,Flight(2012),Co-pilot Ken Evans takes over,0:12:59,0:13:02,779,782,3,204,233,29,Fail,process,0.09490534874857069,0.05437100213219616
5,Flight(2012),while Whip discreetly mixes vodka in his orange juice,0:14:57,0:15:33,897,933,36,234,287,53,Success,process,0.10989709058569432,0.062366737739872065
6,Flight(2012),and takes a nap.,0:17:07,0:17:21,1027,1041,14,288,304,16,Success,change_of_state,0.12641341633845762,0.07675906183368869
7,Flight(2012),He is jolted awake as the plane goes into a steep dive.,0:17:38,0:17:43,1058,1063,5,305,360,55,Fail,change_of_state,0.13035192478719348,0.08128997867803837
8,Flight(2012),"Unable to regain control,",0:17:44,0:21:12,1064,1272,208,361,386,25,Success,non_event,0.13111421674501333,0.09621535181236673
9,Flight(2012),"Whip is forced to make a controlled crash landing in an open field,",0:23:14,0:25:02,1394,1502,108,387,454,67,Success,process,0.1730402744251048,0.1031449893390192
10,Flight(2012),hitting his head,0:25:03,0:25:07,1503,1507,4,455,471,16,Success,process,0.18688857832549866,0.12126865671641791
11,Flight(2012),and losing consciousness on impact.,0:25:08,0:26:16,1508,1576,68,472,507,35,Success,change_of_state,0.18752382162368186,0.1257995735607676
12,Flight(2012),Whip awakens in an Atlanta hospital with moderate injuries,0:26:18,0:27:24,1578,1644,66,509,567,58,Success,change_of_state,0.19641722779824672,0.13566098081023453
13,Flight(2012),"and is greeted by his old friend Charlie Anderson,",0:27:27,0:27:42,1647,1662,15,568,618,50,Success,process,0.20518358531317493,0.15138592750533048
14,Flight(2012),who represents the airline's pilots union.,0:30:59,0:31:02,1859,1862,3,619,661,42,Fail,stative_event,0.23211790115614278,0.16497867803837954
15,Flight(2012),"He tells Whip that he managed to save 96 out of 102, losing two crew members and four passengers,",0:27:44,0:28:07,1664,1687,23,662,759,97,Fail,process,0.2073434125269978,0.17643923240938167
16,Flight(2012),but mentions his co-pilot is in a coma.,0:31:52,0:32:02,1912,1922,10,760,799,39,Fail,process,0.23885148011688476,0.2025586353944563
17,Flight(2012),Whip sneaks away for a cigarette,0:38:44,0:39:01,2324,2341,17,800,832,32,Success,process,0.2911955278871807,0.21321961620469082
18,Flight(2012),"and meets Nicole Maggen,",0:39:02,0:39:48,2342,2388,46,833,857,24,Success,process,0.2934824037606403,0.22201492537313433
19,Flight(2012),a heroin addict recovering from an overdose in the same hospital.,0:42:04,0:42:10,2524,2530,6,858,923,65,Fail,stative_event,0.3166052598145089,0.2286780383795309
20,Flight(2012),"The next morning, his friend and drug dealer Harling Mays picks him up from the hospital.",0:45:42,0:46:29,2742,2789,47,924,1013,89,Success,process,0.34430186761529663,0.2462686567164179
21,Flight(2012),"Having retired to his late father's farm,",0:46:35,0:47:37,2795,2857,62,1015,1056,41,Success,process,0.3510354465760386,0.27052238805970147
22,Flight(2012),"Whip meets Charlie and attorney Hugh Lang,",0:52:16,0:52:26,3136,3146,10,1057,1099,42,Fail,process,0.3943590395121331,0.28171641791044777
23,Flight(2012),who explain that the National Transportation Safety Board (NTSB) performed a drug test while he was unconscious.,0:54:15,0:54:36,3255,3276,21,1100,1212,112,Fail,process,0.4094778300088933,0.2931769722814499
24,Flight(2012),"Results showed that Whip was intoxicated during the flight,",0:54:58,0:56:00,3298,3360,62,1213,1272,59,Fail,stative_event,0.4149409223732689,0.3232942430703625
25,Flight(2012),although Hugh gets the toxicology report voided on technical grounds.,1:34:32,1:34:42,5672,5682,10,1273,1342,69,Fail,stative_event,0.7165544403506542,0.3392857142857143
26,Flight(2012),Whip visits,0:58:15,1:00:50,3495,3650,155,1343,1354,11,Fail,process,0.43996950832168713,0.35794243070362475
27,Flight(2012),"and becomes intimate with Nicole,",1:01:37,1:03:37,3697,3817,120,1355,1388,33,Success,change_of_state,0.46563333756828856,0.3611407249466951
28,Flight(2012),but his drinking habits clash with Nicole's attempts to stay drug-free.,1:27:50,1:31:00,5270,5460,190,1389,1460,71,Success,process,0.6654808791767246,0.3702025586353945
29,Flight(2012),"Later, he attends a funeral for Katerina,",1:15:31,1:15:40,4531,4540,9,1461,1502,41,Success,process,0.571591919705247,0.38939232409381663
30,Flight(2012),"a flight attendant who died in the crash,",0:30:50,0:30:55,1850,1855,5,1503,1544,41,Fail,change_of_state,0.230974463219413,0.4005863539445629
31,Flight(2012),and with whom Whip had spent the night before the incident.,0:00:32,0:01:00,32,60,28,1545,1604,59,Fail,process,0.0,0.4117803837953092
32,Flight(2012),"He sees a surviving crew member, Margaret,",1:15:56,1:16:59,4556,4619,63,1605,1647,42,Success,process,0.5747681361961631,0.42777185501066095
33,Flight(2012),and asks her to tell the NTSB that he was sober.,1:17:00,1:19:17,4620,4757,137,1648,1696,48,Success,process,0.582899250412908,0.4392324093816631
34,Flight(2012),Whip pays a visit to his co-pilot Ken Evans Whip,1:22:50,1:26:53,4970,5213,243,1698,1741,48,Success,process,0.6273662812857324,0.4525586353944563
36,Flight(2012),Evans has likely lost much of his ability to walk,1:24:03,1:24:11,5043,5051,8,1774,1823,49,Fail,change_of_state,0.6366408334392072,0.4728144989339019
37,Flight(2012),and may never pilot an airplane again.,1:24:12,1:24:14,5052,5054,2,1824,1862,38,Fail,non_event,0.6377842713759369,0.4861407249466951
38,Flight(2012),"Although upset, Evans has no intention of telling the NTSB that Whip was drinking.",1:25:07,1:25:58,5107,5158,51,1863,1945,82,Fail,non_event,0.6447719476559521,0.4965351812366738
39,Flight(2012),Nicole decides to separate from Whip after he fails to stay sober,1:29:36,1:32:37,5376,5557,181,1946,2011,65,Success,process,0.6789480370982085,0.5186567164179104
40,Flight(2012),"and he spontaneously drives to the home of his ex-wife and son,",1:37:30,1:38:40,5850,5920,70,2012,2075,63,Success,process,0.7391691017659763,0.5362473347547975
41,Flight(2012),both of whom resent him.,1:38:42,1:39:55,5922,5995,73,2076,2100,24,Fail,stative_event,0.7483166052598145,0.5533049040511727
42,Flight(2012),"Hounded by the media,",1:39:58,1:40:12,5998,6012,14,2101,2122,21,Fail,process,0.7579723033921991,0.5599680170575693
43,Flight(2012),"he stays with Charlie until the NTSB hearing,",1:40:30,1:41:48,6030,6108,78,2123,2168,45,Fail,process,0.7620378605005717,0.5658315565031983
44,Flight(2012),vowing not to drink.,1:41:49,1:41:56,6109,6116,7,2169,2189,20,Fail,process,0.7720747046118662,0.5780916844349681
45,Flight(2012),"The night before the hearing, Charlie and Hugh move Whip to a guarded hotel room with no alcohol.",1:42:06,1:44:03,6126,6243,117,2190,2287,97,Success,process,0.7742345318256891,0.5836886993603412
46,Flight(2012),He finds the door to an adjacent room unlocked,1:46:03,1:46:37,6363,6397,34,2288,2334,46,Success,process,0.8043450641595731,0.6098081023454157
47,Flight(2012),and raids the minibar there.,1:47:03,1:48:53,6423,6533,110,2335,2363,28,Success,process,0.8119679837377715,0.6223347547974414
48,Flight(2012),"The next morning, Charlie discovers Whip passed out drunk.",1:48:54,1:50:07,6534,6607,73,2365,2423,58,Success,process,0.8260703849574386,0.6303304904051172
49,Flight(2012),"Whip and Charlie call Harling to provide Whip with cocaine, hoping to get him alert enough to make it through the hearing.",1:50:27,1:54:14,6627,6854,227,2424,2546,122,Success,process,0.8378859103036462,0.6460554371002132
